
[2018-06-06 16:30:54.024] 160|-1.009;-0.082;0.100|0.6;-0.3;3.0|-134.8;82.7;39.6|2
[2018-06-06 16:30:54.134] 161|-1.010;-0.083;0.100|0.6;-0.2;3.0|-134.8;82.7;39.6|3
[2018-06-06 16:30:54.227] 162|-1.009;-0.083;0.099|0.6;-0.3;3.0|-134.8;82.7;39.6|2
[2018-06-06 16:30:54.337] 163|-1.009;-0.083;0.100|0.5;-0.3;3.1|-134.8;82.7;39.6|3
[2018-06-06 16:30:54.436] 164|-1.010;-0.083;0.099|0.7;-0.3;3.1|-134.8;82.7;39.6|2
[2018-06-06 16:30:54.536] 165|-1.010;-0.083;0.099|0.7;-0.3;3.0|-134.8;82.7;39.6|3
[2018-06-06 16:30:54.627] 166|-1.010;-0.083;0.100|0.6;-0.3;3.2|-134.8;82.7;39.6|2
[2018-06-06 16:30:54.736] 167|-1.009;-0.083;0.099|0.4;-0.4;3.0|-134.8;82.7;39.6|3
[2018-06-06 16:30:54.830] 168|-1.009;-0.083;0.100|0.6;-0.2;3.0|-134.8;82.7;39.6|2
[2018-06-06 16:30:54.939] 169|-1.009;-0.083;0.100|0.7;-0.3;3.1|-134.8;82.7;39.6|3
[2018-06-06 16:30:55.033] 170|-1.009;-0.083;0.100|0.7;-0.3;3.0|-134.8;82.7;39.6|2
[2018-06-06 16:30:55.127] 171|-1.010;-0.082;0.099|0.7;-0.4;3.0|-134.8;82.7;39.6|3
[2018-06-06 16:30:55.236] 172|-1.009;-0.082;0.100|0.6;-0.1;3.0|-134.8;82.7;39.6|2
[2018-06-06 16:30:55.330] 173|-1.009;-0.083;0.100|0.8;-0.3;3.1|-134.8;82.7;39.6|3
[2018-06-06 16:30:55.439] 174|-1.009;-0.082;0.101|0.6;-0.3;3.0|-134.8;82.7;39.6|2
[2018-06-06 16:30:55.533] 175|-1.009;-0.082;0.101|0.6;-0.2;3.1|-134.8;82.7;39.6|3
[2018-06-06 16:30:55.642] 176|-1.010;-0.083;0.100|0.5;-0.3;3.0|-134.8;82.7;39.6|2
[2018-06-06 16:30:55.736] 177|-1.009;-0.082;0.099|0.6;-0.2;3.1|-134.8;82.7;39.6|3
[2018-06-06 16:30:55.830] 178|-1.011;-0.083;0.100|0.6;-0.2;3.0|-134.8;82.7;39.6|2
[2018-06-06 16:30:55.939] 179|-1.009;-0.083;0.100|0.7;-0.4;3.1|-134.8;82.7;39.6|3
[2018-06-06 16:30:56.033] 180|-1.010;-0.083;0.101|0.6;-0.3;3.1|-134.8;82.7;39.6|2
[2018-06-06 16:30:56.143] 181|-1.009;-0.082;0.100|0.7;-0.4;3.0|-134.8;82.7;39.6|3
[2018-06-06 16:30:56.236] 182|-1.009;-0.083;0.100|0.6;-0.2;3.2|-134.9;82.7;39.6|2
[2018-06-06 16:30:56.346] 183|-1.010;-0.083;0.100|0.6;-0.2;3.0|-134.9;82.7;39.6|3
[2018-06-06 16:30:56.439] 184|-1.009;-0.082;0.100|0.5;-0.1;3.1|-134.9;82.7;39.6|2
[2018-06-06 16:30:56.533] 185|-1.009;-0.083;0.100|0.7;-0.3;3.1|-134.9;82.7;39.6|3
[2018-06-06 16:30:56.643] 186|-1.009;-0.083;0.099|0.6;-0.2;3.0|-134.8;82.7;39.6|2
[2018-06-06 16:30:56.736] 187|-1.010;-0.082;0.101|0.4;-0.2;2.8|-134.8;82.7;39.6|3
[2018-06-06 16:30:56.846] 188|-1.009;-0.083;0.100|0.6;-0.2;2.9|-134.8;82.7;39.6|2
[2018-06-06 16:30:56.939] 189|-1.009;-0.083;0.100|0.6;-0.2;3.0|-134.8;82.7;39.6|3
[2018-06-06 16:30:57.049] 190|-1.009;-0.083;0.099|0.6;-0.2;3.0|-134.8;82.7;39.6|2
[2018-06-06 16:30:57.142] 191|-1.010;-0.083;0.099|0.6;-0.3;3.0|-134.8;82.7;39.6|3
[2018-06-06 16:30:57.236] 192|-1.010;-0.083;0.100|0.6;-0.3;3.1|-134.8;82.7;39.6|2
[2018-06-06 16:30:57.346] 193|-1.009;-0.083;0.100|0.5;-0.3;2.9|-134.8;82.7;39.6|3
[2018-06-06 16:30:57.439] 194|-1.009;-0.083;0.100|0.6;-0.3;2.9|-134.8;82.7;39.6|2
[2018-06-06 16:30:57.549] 195|-1.009;-0.082;0.099|0.5;-0.4;3.0|-134.8;82.7;39.6|3
[2018-06-06 16:30:57.642] 196|-1.009;-0.082;0.100|0.7;-0.4;3.1|-134.8;82.7;39.6|2
[2018-06-06 16:30:57.752] 197|-1.010;-0.084;0.100|0.5;-0.3;3.0|-134.8;82.7;39.6|3
[2018-06-06 16:30:57.846] 198|-1.010;-0.083;0.100|0.8;-0.3;3.0|-134.8;82.7;39.6|2
[2018-06-06 16:30:57.955] 199|-1.009;-0.083;0.100|0.7;-0.5;3.0|-134.8;82.7;39.6|3
[2018-06-06 16:30:58.049] 200|-1.009;-0.082;0.100|0.6;-0.3;3.0|-134.8;82.7;39.6|2
[2018-06-06 16:30:58.142] 201|-1.009;-0.083;0.100|0.5;-0.4;2.9|-134.8;82.7;39.6|3
[2018-06-06 16:30:58.252] 202|-1.009;-0.082;0.100|0.6;-0.3;3.0|-134.8;82.7;39.6|2
[2018-06-06 16:30:58.346] 203|-1.009;-0.082;0.100|0.7;-0.1;3.0|-134.8;82.7;39.6|3
[2018-06-06 16:30:58.455] 204|-1.009;-0.083;0.099|0.6;-0.3;3.0|-134.8;82.7;39.6|2
[2018-06-06 16:30:58.549] 205|-1.009;-0.082;0.100|0.4;-0.1;3.2|-134.8;82.7;39.6|3
[2018-06-06 16:30:58.658] 206|-1.010;-0.083;0.100|0.6;-0.3;3.1|-134.8;82.7;39.6|3
[2018-06-06 16:30:58.752] 207|-1.009;-0.083;0.100|0.6;-0.0;3.1|-134.8;82.7;39.6|3
[2018-06-06 16:30:58.845] 208|-1.009;-0.082;0.101|0.7;-0.3;3.0|-134.8;82.7;39.6|2
