

[2018-06-06 15:04:53.399] 106|-1.003;-0.038;0.129|0.7;-0.9;3.0|-160.0;82.2;14.6|0
[2018-06-06 15:04:53.415] 107|-1.004;-0.037;0.127|0.6;-1.0;2.9|-159.9;82.1;14.7|0
[2018-06-06 15:04:53.415] 108|-1.005;-0.035;0.126|0.6;-0.9;2.9|-159.8;82.2;14.7|0
[2018-06-06 15:04:53.431] 109|-1.008;-0.033;0.125|0.6;-0.9;3.0|-159.7;82.2;14.8|0
[2018-06-06 15:04:53.446] 110|-1.009;-0.033;0.125|0.7;-0.9;3.1|-159.6;82.2;14.8|0
[2018-06-06 15:04:53.446] 111|-1.009;-0.033;0.129|0.6;-0.7;3.2|-159.6;82.2;14.8|0
[2018-06-06 15:04:53.462] 112|-1.009;-0.034;0.131|0.6;-0.7;3.2|-159.5;82.2;14.8|0
[2018-06-06 15:04:53.477] 113|-1.009;-0.035;0.133|0.8;-0.7;3.3|-159.5;82.2;14.8|0
[2018-06-06 15:04:53.477] 114|-1.006;-0.036;0.134|0.6;-0.8;3.4|-159.5;82.2;14.8|0
[2018-06-06 15:04:53.493] 115|-1.003;-0.036;0.134|0.6;-0.8;3.2|-159.5;82.2;14.8|0
[2018-06-06 15:04:53.509] 116|-1.002;-0.037;0.134|0.7;-0.7;3.4|-159.5;82.2;14.8|0
[2018-06-06 15:04:53.509] 117|-1.001;-0.038;0.134|0.7;-1.0;3.3|-159.6;82.2;14.8|0
[2018-06-06 15:04:53.524] 118|-1.002;-0.039;0.133|0.8;-0.9;3.3|-159.5;82.2;14.8|0
[2018-06-06 15:04:53.540] 119|-1.001;-0.039;0.134|0.6;-0.9;3.3|-159.5;82.2;14.8|0
[2018-06-06 15:04:53.540] 120|-1.003;-0.039;0.133|0.6;-0.9;3.2|-159.5;82.2;14.9|0
[2018-06-06 15:04:53.556] 121|-1.004;-0.037;0.131|0.6;-0.9;3.1|-159.5;82.2;14.9|0
[2018-06-06 15:04:53.571] 122|-1.005;-0.037;0.129|0.7;-0.8;3.0|-159.4;82.2;15.0|0
[2018-06-06 15:04:53.571] 123|-1.006;-0.034;0.128|0.6;-0.7;2.9|-159.4;82.2;15.0|0
[2018-06-06 15:04:53.587] 124|-1.006;-0.034;0.127|0.6;-0.8;2.9|-159.3;82.2;15.1|0
[2018-06-06 15:04:53.602] 125|-1.007;-0.034;0.127|0.6;-0.7;3.0|-159.3;82.2;15.1|0
[2018-06-06 15:04:53.602] 126|-1.007;-0.034;0.130|0.6;-0.8;3.1|-159.3;82.3;15.1|0
[2018-06-06 15:04:53.618] 127|-1.007;-0.035;0.132|0.6;-0.7;3.3|-159.2;82.3;15.1|0
[2018-06-06 15:04:53.634] 128|-1.005;-0.036;0.134|0.6;-0.8;3.3|-159.3;82.3;15.1|0
[2018-06-06 15:04:53.634] 129|-1.005;-0.037;0.133|0.8;-0.8;3.1|-159.3;82.3;15.1|0
[2018-06-06 15:04:53.649] 130|-1.005;-0.037;0.135|0.7;-0.7;3.3|-159.3;82.3;15.0|0
